asin,sale_price,mrp,product_url,full_title,product_image,product_price
B0FMS5X6Q8,₹298,"₹1,099",https://www.amazon.in/dp/B0FMS5X6Q8,LEOTUDE Casual Half Sleeve Cottonblend Printed Round Neck Drop Shoulder Oversized Tshirt for Man (Color Brown),https://m.media-amazon.com/images/I/61kYmRqjzaL._SY879_.jpg,
B0F4NJCR2W,₹498,"₹1,999",https://www.amazon.in/dp/B0F4NJCR2W,DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,https://m.media-amazon.com/images/I/61s-ohqlfLL._SY879_.jpg,
B09CZC46Y2,₹615,"₹1,499",https://www.amazon.in/dp/B09CZC46Y2,Urbano Fashion Men Jeans,https://m.media-amazon.com/images/I/61b32h3CayL._SY879_.jpg,
B0CV3T1WBB,₹219,₹999,https://www.amazon.in/dp/B0CV3T1WBB,Fashion Frill Silver Chain For Men Stylish Stainless Steel Bar Pendant Necklace Silver Chain Pendant For Men Boys Love Gifts Mens Jewellery,https://m.media-amazon.com/images/I/313sr5mjCEL._SY695_.jpg,
B0CGLMT89Z,₹495,"₹1,849",https://www.amazon.in/dp/B0CGLMT89Z,CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),https://m.media-amazon.com/images/I/71DU0wuXOSL._SX679_.jpg,
B0DVZH1R7B,₹389,"₹1,400",https://www.amazon.in/dp/B0DVZH1R7B,Mack Jonney Regular Trouser Loose Fit | Sports for Men Stylish Track Pant-MACK640418,https://m.media-amazon.com/images/I/41r3Yu+ZnOL.jpg,
B0CXPWH84N,₹499,"₹1,999",https://www.amazon.in/dp/B0CXPWH84N,GRECIILOOKS Men's Lycra Cargo Track Pants – Loose Fit Joggers for Men | Korean Style Travel & Lounge Wear with Pockets (Available in Plus Size),https://m.media-amazon.com/images/I/51sTMxOlN1L._SY879_.jpg,
B0CM11NTXP,₹499,"₹1,999",https://www.amazon.in/dp/B0CM11NTXP,Leriya Fashion Men's Formal Button Down Shirt – Slim Fit Shirt's for Men | Textured Long Sleeve Polycotton| Business & Meeting Ready (Available in Plus Size),https://m.media-amazon.com/images/I/615W1abrC2L._SY879_.jpg,
B0GPQCV74J,₹489,"₹1,299",https://www.amazon.in/dp/B0GPQCV74J,Men’s Baggy Fit Jeans – Loose Fit High-Rise Denim – Comfortable Casual Wear Jeans for Men – Trendy Street Style Denim Pants,https://m.media-amazon.com/images/I/714OEF4K+iL._SY879_.jpg,
B0FPD3G1P5,₹498,"₹1,999",https://www.amazon.in/dp/B0FPD3G1P5,Leriya Fashion Shirt for Man | Mens Casual Shirts | Shirt for Man| Shirts for Mens Stylish |Half Sleeve Button Down Textured Summer Wear (Available in Plus Sizes),https://m.media-amazon.com/images/I/717W0WmIokL._SY879_.jpg,
B0DS69BT6Y,₹799,"₹3,999",https://www.amazon.in/dp/B0DS69BT6Y,"MIA FASHION Men's Sunscreen Jacket with UV Protection UPF 50+ Jacket, Full Sleeve, Regular Fit | Stylish Stand Collar & Zipper Closure jacket",https://m.media-amazon.com/images/I/61ux7FZUs-L._SX679_.jpg,
B0BVB8D8XW,₹249,₹999,https://www.amazon.in/dp/B0BVB8D8XW,Fashion Frill Men's Jewellery Black Silver Chain For Men Boys Geometric Stainless Steel Black Silver Locket Pendant Necklace Chain For Men Boys Anniversary Gift For Husband Gift Chains,https://m.media-amazon.com/images/I/612xOm1X6LL._SY695_.jpg,
B0FFMJ1N8N,₹349,₹999,https://www.amazon.in/dp/B0FFMJ1N8N,KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,https://m.media-amazon.com/images/I/81VAcWRLqzL._SY879_.jpg,
B0FQDHZV4V,₹599,"₹1,999",https://www.amazon.in/dp/B0FQDHZV4V,"Glowic Men’s Hoodie | Oversized Stylish Sweatshirt for Winter Wear | Trendy Casual Hoodie for Men | Perfect for Gym, Travel, Streetwear Fashion",https://m.media-amazon.com/images/I/51Q-16vDx4L._SY879_.jpg,
B0GPQMNWTF,₹489,"₹1,299",https://www.amazon.in/dp/B0GPQMNWTF,Men’s Baggy Fit Jeans – Loose Fit High-Rise Denim – Comfortable Casual Wear Jeans for Men – Trendy Street Style Denim Pants,https://m.media-amazon.com/images/I/51pjUcNswGL._SY879_.jpg,
B0H2SBKXRG,₹495,₹989,https://www.amazon.in/dp/B0H2SBKXRG,GOLDENIZE FASHION Branded Men's Sport Quartz Watch Car Wheel Multicolour Dial Wheel Dial 360 Rotating Casual Fashion Stainless Steel Alloy Mens &Boy's Luxury Metal Gift Creative Watch,https://m.media-amazon.com/images/I/71UlVsxpS1L._SX679_.jpg,
B0D4MBW996,₹498,"₹1,999",https://www.amazon.in/dp/B0D4MBW996,DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,https://m.media-amazon.com/images/I/71extP2w9IL._SY879_.jpg,
B0D9PG6CQT,₹99,₹499,https://www.amazon.in/dp/B0D9PG6CQT,Fitness Mantra® Gym Winter Cap & Muffler for Men & Women| Beanie Cap| 1 Set|,https://m.media-amazon.com/images/I/61pqWOWE52L._SX679_.jpg,
